M,Grupo,Equipo A,Marcador 8.3B-Scoreline Lite,Equipo B,Prob. A-E-B,Prob. mercado A-E-B,Prob. A-E-B 8.3B-Odds,Favorito 8.3B-Odds,Confianza 8.3B-Odds,Estado marcador 8.3B-Scoreline Lite,Nota scoreline lite,tm_signal_a,market_a,age_a,tm_signal_b,market_b,age_b,p83_a,p83_d,p83_b,tm_edge,p84_a_raw,p84_b_raw,p84_d_raw,p84_a,p84_d,p84_b,Prob. A-E-B 8.4A-TM,out_score_lite,out84,Marcador 8.4A-TM,Cambio marcador 8.4A,Nota 8.4A-TM,game_id,sofa_odds_home,sofa_odds_draw,sofa_odds_away,p_sofa_home_no_vig,p_sofa_draw_no_vig,p_sofa_away_no_vig,p_consensus_home,p_consensus_draw,p_consensus_away,max_abs_delta_sofa_theodds,MarketConsensusFlag,p84a_a,p84a_d,p84a_b,p84b_a,p84b_d,p84b_b,Prob. A-E-B 8.4B-Consensus,Confianza 8.4B-Consensus,Marcador 8.4B-Consensus,Nota 8.4B-Consensus
1,A,México,2-0,Sudáfrica,76-17-7,67-22-11,71-20-10,México,Media,Conservado,Marcador conservado; probabilidades sí recalibradas.,0.2609602124190925,191.85,27.9,-0.7913899443619227,49.25,26.8,0.7029702970297029,0.198019801980198,0.099009900990099,1.0523501567810152,0.7293450171979652,0.095429485177383,0.198019801980198,0.7130906127381295,0.1936066725605874,0.0933027147012832,71-19-9,A,A,2-0,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",15186710.0,1.4,4.333333333333334,8.0,0.6675224646983312,0.2156611039794608,0.1168164313222079,0.6695247785003876,0.2158197783256876,0.1146554431739247,0.0028813175310442,Consenso alto,0.7171717171717171,0.1919191919191919,0.0909090909090909,0.6838188601017864,0.2086496024037389,0.1075315374944746,68-21-11,Media-Alta,2-0,SofaScore y The Odds API son consistentes; aumenta confianza de mercado.
2,A,Corea del Sur,1-1,Chequia,39-29-32,36-30-33,37-30-33,Corea del Sur,Media,Conservado,Empate conservado: probabilidad de empate sigue alta y compatible con ancla histórica.,-0.0487839536698092,139.05,28.1,-0.1579478437937918,188.18,27.6,0.37,0.3,0.33,0.1091638901239825,0.371416376454445,0.3287415626784454,0.3,0.3713577245374394,0.2999526257423821,0.3286896497201786,37-30-33,D,A,1-1,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,15186720.0,2.6,3.1,2.75,0.3591742152938698,0.3012428902464714,0.3395828944596587,0.3610745999568782,0.3030043411437695,0.3359210588993523,0.0048824474137419,Consenso alto,0.37,0.3,0.33,0.3637522199698147,0.3021030388006386,0.3341447412295466,36-30-33,Media-Alta,1-1,SofaScore y The Odds API son consistentes; aumenta confianza de mercado.
3,B,Canadá,1-0,Bosnia y Herzegovina,63-22-15,53-26-21,57-25-19,Canadá,Baja,"Conservado, pero bajo revisión",No se cambia por prudencia; requiere xG/O-U y lineups.,-0.0111583591303389,196.65,27.1,-0.3426050075861381,151.6,26.4,0.5643564356435643,0.2475247524752475,0.1881188118811881,0.3314466484557992,0.5709414486739588,0.1859491238503453,0.2475247524752475,0.5684316382510529,0.2464366545535912,0.185131707195356,57-25-19,A,A,1-0,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,,,,,,,,,,,,,0.5643564356435643,0.2475247524752475,0.1881188118811881,0.5643564356435643,0.2475247524752475,0.1881188118811881,56-25-19,Baja,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
4,D,Estados Unidos,1-0,Paraguay,53-26-21,48-28-24,50-27-23,Estados Unidos,Media-Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,0.6414344636089065,385.65,26.9,-0.1626171878642138,153.65,29.0,0.5,0.27,0.23,0.8040516514731204,0.5142707646466459,0.2236176113939049,0.27,0.5102457542639176,0.2678868081212368,0.2218674376148456,51-27-22,A,A,1-0,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,,,,,,,,,,,,,0.51,0.27,0.22,0.51,0.27,0.22,51-27-22,Media-Alta,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
5,C,Haití,0-1,Escocia,15-24-61,14-22-64,15-23-63,Escocia,Media-Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,-0.8475747275240388,55.9,27.6,-0.1551026621541422,170.25,29.2,0.1485148514851485,0.2277227722772277,0.6237623762376238,-0.6924720653698966,0.1449586371882281,0.6390648978623055,0.2277227722772277,0.1432756770529708,0.2250789260389714,0.6316453969080575,14-23-63,B,B,0-1,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,15186853.0,5.5,4.75,1.5,0.1716867469879518,0.1987951807228915,0.6295180722891567,0.1511932481502888,0.2130360622978047,0.6357706895519064,0.027324665116884,Consenso alto,0.14,0.23,0.63,0.1478352737052021,0.2181252436084633,0.6340394826863345,15-22-63,Media-Alta,0-1,SofaScore y The Odds API son consistentes; aumenta confianza de mercado.
6,D,Australia,0-1,Türkiye,21-26-53,20-26-54,20-26-53,Türkiye,Media-Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,-0.3989535796396222,77.45,27.4,0.4478968347547193,473.7,27.7,0.202020202020202,0.2626262626262626,0.5353535353535354,-0.8468504143943415,0.1961202394851619,0.5514587869577489,0.2626262626262626,0.1941389949223802,0.2599731613643129,0.5458878437133068,19-26-55,B,B,0-1,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,15186874.0,4.75,3.6,1.75,0.1986598344501379,0.2621206148994876,0.5392195506503745,0.1997162887912619,0.2623668551228573,0.5379168560858807,0.0017369260859917,Consenso alto,0.19,0.26,0.55,0.1968014021538833,0.2616567985860001,0.5415417992601165,20-26-54,Media-Alta,0-1,SofaScore y The Odds API son consistentes; aumenta confianza de mercado.
7,C,Brasil,1-1,Marruecos,43-29-28,59-24-17,53-26-21,Brasil,Baja,"Conservado, pero bajo revisión",No se cambia por prudencia; requiere xG/O-U y lineups.,1.071654183529238,923.2,29.2,0.6330444802720919,498.3,26.4,0.53,0.26,0.21,0.4386097032571462,0.5381989816551779,0.2068008372251241,0.26,0.5355214712922041,0.2587065142854186,0.2057720144223774,54-26-21,D,A,1-0,True,Ajuste TM proxy: talento/profundidad refuerza el resultado modal; pendiente xG/O-U.,15186850.0,1.62,3.8,5.75,0.5854612684547574,0.2495913828675544,0.1649473486776881,0.5885088577780728,0.2455475814585284,0.1659435607633987,0.0053917352120347,Consenso alto,0.5346534653465347,0.2574257425742574,0.2079207920792079,0.5723522400486114,0.2491110297932471,0.1785367301581414,57-25-18,Media-Alta,1-0,SofaScore y The Odds API son consistentes; aumenta confianza de mercado.
8,B,Qatar,0-2,Suiza,9-21-70,7-15-77,8-17-74,Suiza,Media,Conservado,Marcador conservado; probabilidades sí recalibradas.,-1.6540070125401325,19.93,29.5,0.4543805951106301,332.5,28.3,0.0808080808080808,0.1717171717171717,0.7474747474747475,-2.1083876076507626,0.0750596705288111,0.8047197565669343,0.1717171717171717,0.0713836550812902,0.1633073962493375,0.7653089486693722,7-16-77,B,B,0-2,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",15186526.0,12.0,6.25,1.22,0.0783940780342363,0.1505166298257338,0.7710892921400297,0.0755959823758993,0.1508657622367895,0.7735382553873112,0.003730794211116,Consenso alto,0.07,0.16,0.77,0.0739171876631295,0.1536060335657526,0.7724767787711179,7-15-77,Media-Alta,0-2,SofaScore y The Odds API son consistentes; aumenta confianza de mercado.
9,E,Costa de Marfil,1-1,Ecuador,34-28-38,26-34-40,29-31-39,Ecuador,Media,Conservado,Empate conservado: probabilidad de empate sigue alta y compatible con ancla histórica.,0.4447012581836878,522.1,25.9,0.3090945759259152,368.7,26.1,0.2929292929292929,0.3131313131313131,0.393939393939394,0.1356066822577725,0.2943229084600419,0.3920740955144759,0.3131313131313131,0.2944618010545856,0.3132790815151648,0.3922591174302496,29-31-39,D,B,1-1,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,,,,,,,,,,,,,0.2929292929292929,0.3131313131313131,0.393939393939394,0.2929292929292929,0.3131313131313131,0.393939393939394,29-31-39,Media,1-1,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
10,E,Alemania,3-0,Curazao,81-16-3,93-6-2,88-10-2,Alemania,Baja,"Conservado, pero bajo revisión",No se cambia por prudencia; requiere xG/O-U y lineups.,1.225863698055178,947.0,28.1,-1.4087883638824117,25.78,28.0,0.88,0.1,0.02,2.6346520619375893,0.9650063963317425,0.0182382210800907,0.1,0.8908480880684235,0.0923152521532276,0.0168366597783489,89-9-2,A,A,3-0,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",15186899.0,1.03,19.0,41.0,0.9264985727878212,0.0502259752616555,0.0232754519505233,0.9260205704694852,0.0540612736266728,0.019918155903842,0.0051137311533563,Consenso alto,0.89,0.09,0.02,0.9152143993286396,0.0648428915386709,0.0199427091326894,92-6-2,Media-Alta,3-0,SofaScore y The Odds API son consistentes; aumenta confianza de mercado.
11,F,Países Bajos,1-0,Japón,55-26-19,48-26-26,51-26-23,Países Bajos,Media,Conservado,Marcador conservado; probabilidades sí recalibradas.,1.0416232686161244,804.2,27.8,0.296824086132251,270.85,27.8,0.51,0.26,0.23,0.7447991824838733,0.5234694634576894,0.2240818389389795,0.26,0.5195462128950746,0.258051376025753,0.2224024110791724,52-26-22,A,A,1-0,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,15186945.0,1.95,3.8,3.5,0.4830216088614491,0.2478663519157435,0.2691120392228073,0.4807185457840092,0.2582466014041523,0.2610348528118385,0.0138403326512115,Consenso alto,0.52,0.26,0.22,0.4925029820488065,0.2587726209829066,0.2487243969682869,49-26-25,Media-Alta,1-0,SofaScore y The Odds API son consistentes; aumenta confianza de mercado.
12,F,Suecia,1-1,Túnez,45-30-25,49-28-22,48-29-23,Suecia,Media,Conservado,Empate conservado: probabilidad de empate sigue alta y compatible con ancla histórica.,0.6760462512353018,406.08,27.6,-0.4993323162124505,69.95,26.7,0.48,0.29,0.23,1.1753785674477524,0.5001581526772042,0.2207301818615976,0.29,0.4947709213653075,0.2868763938524494,0.218352684782243,49-29-22,D,A,1-0,True,Ajuste TM proxy: talento/profundidad refuerza el resultado modal; pendiente xG/O-U.,,,,,,,,,,,,,0.49,0.29,0.22,0.49,0.29,0.22,49-29-22,Media,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
13,H,Arabia Saudita,0-1,Uruguay,10-23-67,13-22-65,12-22-66,Uruguay,Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,-0.9091197550658686,40.68,28.5,0.475488939068544,359.3,28.8,0.12,0.22,0.66,-1.384608694134413,0.1143233044520073,0.6927721375762714,0.22,0.111307381742679,0.2141962577163718,0.6744963605409492,11-21-67,B,B,0-1,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",,,,,,,,,,,,,0.1111111111111111,0.2121212121212121,0.6767676767676768,0.1111111111111111,0.2121212121212121,0.6767676767676768,11-21-68,Alta,0-1,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
14,H,España,3-0,Cabo Verde,82-17-1,88-9-4,85-12-3,España,Media,Conservado,Marcador conservado; probabilidades sí recalibradas.,1.4173890173846042,1220.0,26.8,-1.281738271333897,54.5,29.7,0.85,0.12,0.03,2.6991272887185014,0.9342142527511106,0.0272956657692885,0.12,0.863805534052982,0.1109559865749271,0.0252384793720906,86-11-3,A,A,3-0,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",,,,,,,,,,,,,0.86,0.11,0.03,0.86,0.11,0.03,86-11-3,Media,3-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
15,G,Irán,1-0,Nueva Zelanda,60-24-16,50-28-22,54-26-20,Irán,Media,Conservado,Marcador conservado; probabilidades sí recalibradas.,-1.3812432631256832,32.05,30.4,-1.1082879609776777,34.35,28.1,0.54,0.26,0.2,-0.2729553021480055,0.5348657088987363,0.2019198430618538,0.26,0.5365905513444714,0.2608384516495075,0.2025709970060211,54-26-20,A,A,1-0,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,,,,,,,,,,,,,0.54,0.26,0.2,0.54,0.26,0.2,54-26-20,Media,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
16,G,Bélgica,1-0,Egipto,61-24-15,57-25-18,59-24-17,Bélgica,Media-Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,0.8886919288529057,547.5,27.6,-0.5300615854758502,116.48,29.1,0.59,0.24,0.17,1.418753514328756,0.6200368488495103,0.1617645792925186,0.24,0.6068075770621512,0.2348792959082069,0.158313127029642,61-23-16,A,A,1-0,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",,,,,,,,,,,,,0.61,0.23,0.16,0.61,0.23,0.16,61-23-16,Media-Alta,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
17,I,Francia,1-0,Senegal,58-25-17,65-21-13,62-23-15,Francia,Media,Conservado,Marcador conservado; probabilidades sí recalibradas.,1.5672590980786936,1520.0,27.0,0.566220747858793,478.1,27.1,0.62,0.23,0.15,1.0010383502199005,0.6421075546699574,0.1448355486921531,0.23,0.6314095179436182,0.2261680119955562,0.1424224700608254,63-23-14,A,A,1-0,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",,,,,,,,,,,,,0.63,0.23,0.14,0.63,0.23,0.14,63-23-14,Media,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
18,I,Irak,0-2,Noruega,7-19-74,7-14-79,7-16-77,Noruega,Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,-1.333146724447664,21.2,26.9,0.6494104823508045,589.9,26.8,0.07,0.16,0.77,-1.9825572067984685,0.0653074252625767,0.8253272852709816,0.16,0.0621599730218419,0.152288895841586,0.7855511311365718,6-15-79,B,B,0-2,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",,,,,,,,,,,,,0.06,0.15,0.79,0.06,0.15,0.79,6-15-79,Alta,0-2,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
19,J,Argentina,2-1,Argelia,64-24-12,68-21-11,67-22-11,Argentina,Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,0.9606785935154084,782.5,29.1,0.2098643082985416,256.9,26.9,0.67,0.22,0.11,0.7508142852168668,0.6878399722247673,0.107147015259411,0.22,0.6776835375295779,0.2167515472738308,0.1055649151965913,68-22-11,A,A,2-1,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,,,,,,,,,,,,,0.6732673267326733,0.2178217821782178,0.1089108910891089,0.6732673267326733,0.2178217821782178,0.1089108910891089,67-22-11,Alta,2-1,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
20,J,Austria,2-0,Jordania,70-20-10,72-17-10,71-18-10,Austria,Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,0.1468502657106935,242.2,28.6,-1.646110608553632,20.0,28.8,0.7171717171717171,0.1818181818181818,0.101010101010101,1.7929608742643257,0.7636189716001179,0.0948661443564003,0.1818181818181818,0.7340349427263817,0.1747742049910894,0.0911908522825288,73-17-9,A,A,2-0,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",,,,,,,,,,,,,0.7373737373737373,0.1717171717171717,0.0909090909090909,0.7373737373737373,0.1717171717171717,0.0909090909090909,74-17-9,Alta,2-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
